Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Кириленко,Устим,Олегович,чоловіча,1955-11-14,Громадський діяч,місто Рівне,"сквер Марата 2-й, буд. 87 кв. 7, Щолкіне, 15598",+380 79 920 25 34,zmasokha@example.org
Гайдабура,Галина,Артемівна,жіноча,1992-03-14,Електромонтер,селище Городок,"сквер Єлисаветградський, буд. 5 кв. 404, Боково-Хрустальне, 32584",094 562-12-09,marusia99@example.net
Балабан,Соломія,Леонідівна,жіноча,1947-03-27,Провізор,селище Євпаторія,"шосе Деревообробна, буд. 73, Сулимівка (Слов'янськ), 68493",+380 97 720-54-65,okhrimiashchuk@example.net
Вітер,Ярослава,Максимівна,жіноча,2001-11-13,Правник,хутір Бахчисарай,"шосе Толбухіна, буд. 39 кв. 7, Кипуче, 29582",108 36 46,marta66@example.com
Чміль,Борис,Романович,чоловіча,1952-02-10,Редактор,село Ананьїв,"сквер Раїси Сергієнко, буд. 78, Добропілля, 59436",534-27-62,konyshchenko@example.net
Андрощук,Ліза,Василівна,жіноча,2001-11-10,Мікробіолог,хутір Снятин,"вулиця Студентський 4-й, буд. 850 кв. 4, Деражня, 13985",+380 90 591-03-62,ruslan68@example.org
Архимович,Наталія,Вікторівна,жіноча,1974-10-29,Живописець,хутір Золочів,"провулок Амбулаторний 2-й, буд. 8, Люботин, 22056",+380 39 800-05-68,sfesenko@example.net
Василечко,Пармен,Юрійович,чоловіча,1943-03-25,Геолог,місто Підгайці,"вулиця Ювілейний 2-й, буд. 396, Чигирин, 40642",514-96-81,milenarubets@example.com
Медведенко,Марко,Миколайович,чоловіча,1963-10-20,Головний меркшейдер,місто Радехів,"площа Висока, буд. 4, Щолкіне, 46321",+380 85 370-38-31,volodymyrsheremet@example.net
Вакуленко,Аарон,Артемович,чоловіча,2003-12-06,Психолог,місто Красногорівка,"площа Лазурний 5-й, буд. 7, Татарбунари, 17067",+380 (63) 066-84-12,olhaiaremko@example.net
Усик,Зорян,Ігоревич,чоловіча,1993-04-17,Промисловець,місто Шпола,"шосе Ползунова 1-й, буд. 65, Донецьк, 20934",397 40 38,snizhanazakusylo@example.net
Атаманчук,Оксенія,Василівна,жіноча,1945-06-24,Євнух,село Шпола,"парк Набережна, буд. 90, Українськ, 24422",091 991 51 49,dubenkookhrim@example.com
Сімашкевич,Феофан,Петрович,чоловіча,1991-04-03,Бібліограф,селище Хирів,"сквер Бахчева, буд. 295 кв. 8, Помічна, 40828",+380 49 635-70-22,lysenkoemiliia@example.net
Івасюк,Єлисей,Михайлович,чоловіча,1982-04-10,Лікар,хутір Золочів,"парк Польова, буд. 00 кв. 81, Монастирище, 73674",088 218-57-59,edankiv@example.com
Баклан,Богдан,Васильович,чоловіча,1980-05-02,Різноробочий,село Кам'янець-Подільський,"площа Аполона Скальковського, буд. 3 кв. 7, Корсунь-Шевченківський, 54837",897 66 19,ielysei72@example.org
Усик,Андрій,Федорович,чоловіча,2004-03-19,Письменник,місто Збараж,"сквер Шишкіна 3-й, буд. 495, Гірник , 16804",028 961-47-36,varvara14@example.com
Джус,Вʼячеслав,Максимович,чоловіча,1981-04-24,Круп'є,хутір Ічня,"проспект Килимовий, буд. 392, Ворожба, 12052",081 974 16 16,rubetszakhar@example.com
Юрчишина,Павло,Сергійович,чоловіча,1971-02-16,Шериф,хутір Вижниця,"шосе Дідріхсона, буд. 7, Севастополь, 68622",+380 (76) 375-73-10,xtsiupa@example.org
